Województwo,Liczba,Liczba zgonów
Cała Polska,1862,22
dolnośląskie,234,4
kujawsko-pomorskie,47,0
lubelskie,105,3
lubuskie,33,0
łódzkie,190,0
małopolskie,150,1
mazowieckie,461,4
opolskie,43,0
podkarpackie,76,1
podlaskie,28,0
pomorskie,45,0
śląskie,195,5
świętokrzyskie,34,1
warmińsko-mazurskie,56,0
wielkopolskie,109,2
zachodniopomorskie,56,1
