Województwo,Liczba,Liczba zgonów
Cała Polska,2554,43
dolnośląskie,326,4
kujawsko-pomorskie,84,0
lubelskie,133,5
lubuskie,47,0
łódzkie,221,1
małopolskie,209,1
mazowieckie,612,11
opolskie,75,0
podkarpackie,104,3
podlaskie,47,0
pomorskie,60,0
śląskie,272,10
świętokrzyskie,55,1
warmińsko-mazurskie,61,0
wielkopolskie,170,6
zachodniopomorskie,78,1
