Województwo,Liczba,Liczba zgonów
Cała Polska,1487,18
dolnośląskie,214,4
kujawsko-pomorskie,37,0
lubelskie,87,3
lubuskie,33,0
łódzkie,182,0
małopolskie,112,0
mazowieckie,421,4
opolskie,31,0
podkarpackie,71,1
podlaskie,26,0
pomorskie,36,0
śląskie,165,2
świętokrzyskie,27,1
warmińsko-mazurskie,42,0
wielkopolskie,85,2
zachodniopomorskie,45,1
