Województwo,Liczba,Liczba zgonów
Cała Polska,1051,13
dolnośląskie,150,4
kujawsko-pomorskie,27,0
lubelskie,60,2
lubuskie,23,0
łódzkie,144,0
małopolskie,56,0
mazowieckie,251,1
opolskie,23,0
podkarpackie,43,1
podlaskie,10,0
pomorskie,22,0
śląskie,107,2
świętokrzyskie,14,1
warmińsko-mazurskie,33,0
wielkopolskie,58,2
zachodniopomorskie,30,0
