Date|Suspected|Quarantined|Monitored|Tested (total)|Confirmed daily|Confirmed|Active|Recovered|Official deaths daily|Unofficial deaths daily
2020-05-30|2207|80182|19161|899069|412|23567|11490|324|10|0
2020-05-31|2134|78823|18947|915546|219|23786|11451|255|3|0
2020-06-01|2181|77406|18859|931520|374|24159|11636|178|10|0
2020-06-02|2219|78470|18692|945955|236|24395|11577|277|18|0
2020-06-03|2150|78691|18642|967177|292|24687|11558|288|23|0
2020-06-04|2101|79341|18721|996604|361|25048|11704|213|2|1
2020-06-05|2085|81244|19274|1014937|362|25410|11863|183|20|0
2020-06-06|2128|81820|19994|1038281|576|25986|12192|231|14|0
2020-06-07|2007|82759|20079|1056396|575|26561|12549|214|4|0
2020-06-08|1881|82921|19703|1070800|599|27160|12996|143|9|0
2020-06-09|2039|84913|19496|1087853|400|27560|13181|198|19|0
2020-06-10|1993|86002|19336|1109909|282|27842|13225|215|23|0
2020-06-11|0|88074|18234|1129039|359|28201|13290|285|9|0
2020-06-12|0|89609|19072|1150983|376|28577|13550|109|7|0
2020-06-13|0|92654|18904|1169088|440|29017|13676|299|15|0
2020-06-14|0|93094|18666|1188742|375|29392|13919|122|10|0
2020-06-15|0|94518|17966|1202024|396|29788|14149|157|9|0
2020-06-16|0|95641|17261|1221133|407|30195|14269|271|16|0
2020-06-17|0|96255|17195|1247099|450|30645|14438|267|14|0
2020-06-18|0|93722|17354|1270951|314|30959|14326|396|30|0
2020-06-19|0|97215|18866|1297676|352|31311|14279|381|18|0
2020-06-20|0|96795|18611|1320399|309|31620|14093|483|12|0
2020-06-21|0|94585|18619|1341842|311|31931|13892|502|10|0
2020-06-22|0|93830|18572|1356035|296|32227|13792|393|3|0
2020-06-23|0|93890|18025|1377206|300|32527|13579|497|16|0
2020-06-24|0|92992|16574|1399647|294|32821|13291|561|21|0
