Województwo,Liczba,Liczba zgonów
Cała Polska,2946,57
dolnośląskie,338,6
kujawsko-pomorskie,157,0
lubelskie,150,5
lubuskie,49,0
łódzkie,236,1
małopolskie,230,4
mazowieckie,754,14
opolskie,78,1
podkarpackie,111,4
podlaskie,59,0
pomorskie,70,0
śląskie,301,11
świętokrzyskie,62,1
warmińsko-mazurskie,67,0
wielkopolskie,195,8
zachodniopomorskie,89,2
