Województwo,Liczba,Liczba zgonów
Cała Polska,6
dolnośląskie,1
kujawsko-pomorskie,0
lubelskie,0
lubuskie,1
łódzkie,0
małopolskie,0
mazowieckie,0
opolskie,0
podkarpackie,0
podlaskie,0
pomorskie,0
śląskie,0
świętokrzyskie,0
warmińsko-mazurskie,2
wielkopolskie,0
zachodniopomorskie,2
