Województwo,Liczba,Liczba zgonów
Cała Polska,1389,16
dolnośląskie,193,4
kujawsko-pomorskie,33,0
lubelskie,78,2
lubuskie,31,0
łódzkie,168,0
małopolskie,93,0
mazowieckie,318,3
opolskie,28,0
podkarpackie,61,1
podlaskie,17,0
pomorskie,32,0
śląskie,141,2
świętokrzyskie,22,1
warmińsko-mazurskie,44,0
wielkopolskie,91,2
zachodniopomorskie,39,1
