Województwo,Liczba,Liczba zgonów
Cała Polska,125,3
dolnośląskie,15,1
kujawsko-pomorskie,0,0
lubelskie,17,1
lubuskie,2,0
łódzkie,19,0
małopolskie,1,0
mazowieckie,22,0
opolskie,4,0
podkarpackie,8,0
podlaskie,0,0
pomorskie,2,0
śląskie,14,0
świętokrzyskie,3,0
warmińsko-mazurskie,5,0
wielkopolskie,7,1
zachodniopomorskie,6,0
