Województwo,Liczba,Liczba zgonów
Cała Polska,177,4
dolnośląskie,27,1
kujawsko-pomorskie,0,0
lubelskie,18,1
lubuskie,2,0
łódzkie,31,0
małopolskie,2,0
mazowieckie,35,0
opolskie,6,0
podkarpackie,11,1
podlaskie,0,0
pomorskie,2,0
śląskie,18,0
świętokrzyskie,3,0
warmińsko-mazurskie,5,0
wielkopolskie,11,1
zachodniopomorskie,6,0
