Województwo,Liczba,Liczba zgonów
Cała Polska,634,7
dolnośląskie,79,2
kujawsko-pomorskie,18,0
lubelskie,39,1
lubuskie,11,0
łódzkie,106,0
małopolskie,24,0
mazowieckie,147,1
opolskie,14,0
podkarpackie,29,1
podlaskie,6,0
pomorskie,17,0
śląskie,66,0
świętokrzyskie,7,0
warmińsko-mazurskie,22,0
wielkopolskie,37,2
zachodniopomorskie,12,0
