Województwo,Liczba,Liczba zgonów
Cała Polska,1070,16
dolnośląskie,165,4
kujawsko-pomorskie,31,0
lubelskie,74,2
lubuskie,30,0
łódzkie,158,0
małopolskie,69,0
mazowieckie,291,3
opolskie,26,0
podkarpackie,53,1
podlaskie,13,0
pomorskie,28,0
śląskie,127,2
świętokrzyskie,15,1
warmińsko-mazurskie,35,0
wielkopolskie,55,2
zachodniopomorskie,27,1
