,Data,Suma przebadanych osób,Nowe przebadne osoby,Suma wykonanych testów,Dobowa liczba wykonanych testów,Dobowa liczba wykonanych testów antygenowych,% testów antygenowych w dobowej liczbie wykonanych testów,Suma zleceń POZ,Dobowa liczba zleceń POZ,Suma osób z wynikiem pozytywnym,Dobowa liczba osób z wynikiem pozywnym,% osób z wynikiem pozytywnym (w ogólnej liczbie testów),% osób z wynikiem pozytywnym (w ogólnej liczbie przebadanych osób),dobowy % osób z wynikiem pozytywnym (w dobowej liczbie testów),dobowy % osób z wynikiem pozytywnym (w dobowej liczbie nowych przebadanych osób),Suma wyników negatywnych i powtórnie pozytywnych,Wyniki negatywne i powtórnie pozywyne,,7-dniowa średnia dobowej liczby wykonanych testów,7-dniowa średnia dobowego % wyników pozytywnych  (w dobowej liczbie testów),,! UWAGI ,! W dniu 08.08 MZ podało informację o zawyżeniu sumy przebadanych próbek o ~230 tys. przez WSSE Kielce przez błąd w raportowaniu. Dane historyczne dot. sumy próbek nie zostały skorygowane.                                                            ! Brak raportu za dzień 25.07: podano tylko zaokrągloną liczbę przebadanych próbek.      ! Zmiana godziny raportowania.                                                                                                                                                                                                                              ! Do raportu dodano liczbę przebadanych osób.                                                                                                                                                                                                                                                                                                                                                                               ! Brak raportów za dzień 06.03 i 15.03   ! W związku ze zmianą systemu raportowania i korektami MZ: suma przypadków może nie być zgodna z sumą w zakałdce 'Wzrost',,,,,,,,,,,,,
,20.11,5688791,42414,5901232,43945,,,1149552,24467,843475,24213,14:29%,14:83%,55:10%,57:09%,5057757,19732,,48 244,46:27%,,,,,,,,,,,,,,,,
,21.11,5730736,41945,5944092,42860,,,1150313,761,861331,18467,14:49%,15:03%,43:09%,44:03%,5082761,24393,,47 709,45:73%,,,,,,,,,,,,,,,,
,22.11,5757602,26866,5971590,27498,,,1150599,286,876333,15002,14:68%,15:22%,54:56%,55:84%,5095257,12496,,46 622,45:05%,,,,,,,,,,,,,,,,
,23.11,5790445,32843,6005307,33717,,,1189813,39214,886472,10139,14:76%,15:31%,30:07%,30:87%,5118835,23578,,45 442,42:83%,,,,,,,,,,,,,,,,
!,24.11,5837721,47276,6053741,48434,,,1212731,22918,901834,15362,14:90%,15:45%,31:72%,32:49%,5151907,33072,,44 216,42:38%,,,,,,,,,,,,,,,,
,25.11,5881914,44193,6098759,45018,,,1233669,20938,918521,16687,15:06%,15:62%,37:07%,37:76%,5180238,28331,,42 360,41:77%,,,,,,,,,,,,,,,,
,26.11,5927378,45464,6145092,46333,,,1254076,20407,935581,17060,15:22%,15:78%,36:82%,37:52%,5209511,29273,,41 115,41:20%,,,,,,,,,,,,,,,,
,27.11,5968348,40970,6187205,42113,,,1274491,20415,950759,15178,15:37%,15:93%,36:04%,37:05%,5236446,26935,,40 853,38:48%,,,,,,,,,,,,,,,,
,28.11,5992512,24164,6211836,24631,,,1274884,393,962242,11483,15:49%,16:06%,46:62%,47:52%,5249594,13148,,38 249,39:0%,,,,,,,,,,,,,,,,
,29.11,6017175,24663,6236988,25152,,,1275160,276,967975,5733,15:52%,16:09%,22:79%,23:25%,5269013,19419,,37 914,34:4%,,,,,,,,,,,,,,,,
,30.11,6054813,37638,6275392,38404,,,1307275,32115,977080,9105,15:57%,16:14%,23:71%,24:19%,5298312,29299,,38 584,33:5%,,,,,,,,,,,,,,,,
,01.12,6095913,41100,6317532,42140,9022,21:41%,1327107,19832,990935,13855,15:69%,16:26%,32:88%,33:71%,5326597,28285,,37 684,33:7%,,,,,,,,,,,,,,,,
,02.12,6133163,37250,6355941,38409,8686,22:61%,1345536,18429,1005773,14838,15:82%,16:40%,38:63%,39:83%,5350168,23571,,36 740,33:9%,,,,,,,,,,,,,,,,
,03.12,6172722,39559,6396712,40771,8854,21:72%,1362763,17227,1019012,13239,15:93%,16:51%,32:47%,33:47%,5377700,27532,,35 946,33:3%,,,,,,,,,,,,,,,,
,04.12,6207568,34846,6432494,35782,10190,28:48%,1380086,17323,1031442,12430,16:03%,16:62%,34:74%,35:67%,5401052,23352,,35 041,33:1%,,,,,,,,,,,,,,,,
,05.12,6230744,23176,6456364,23870,4028,16:87%,1380496,410,1040618,9176,16:12%,16:70%,38:44%,39:59%,5415746,14694,,34 933,32:0%,,,,,,,,,,,,,,,,
,06.12,6249735,18991,6476569,20205,3654,18:08%,1380810,314,1045041,4423,16:14%,16:72%,21:89%,23:29%,5431528,15782,,34 226,31:8%,,,,,,,,,,,,,,,,
,07.12,6278952,29217,6506710,30141,16198,53:74%,1410241,29431,1053353,8312,16:19%,16:78%,27:58%,28:45%,5453357,21829,,33 045,32:4%,,,,,,,,,,,,,,,,
,08.12,6319309,40357,6547891,41181,11168,27:12%,1428138,17897,1065521,12168,16:27%,16:86%,29:55%,30:15%,5482370,29013,,32 908,31:9%,,,,,,,,,,,,,,,,
,09.12,6356826,37517,6586361,38470,10433,27:12%,1444946,16808,1079270,13749,16:39%,16:98%,35:74%,36:65%,5507091,24721,,32 917,31:5%,,,,,,,,,,,,,,,,
,10.12,6390062,33236,6620376,34015,11269,33:13%,1461476,16530,1092380,13110,16:50%,17:09%,38:54%,39:45%,5527996,20905,,31 952,32:4%,,,,,,,,,,,,,,,,
,11.12,6422744,32682,6653788,33412,11727,35:10%,1478177,16701,1103877,11497,16:59%,17:19%,34:41%,35:18%,5549911,21915,,31 613,32:3%,,,,,,,,,,,,,,,,
,12.12,6444285,21541,6675849,22061,5739,26:01%,1478550,373,1112854,8977,16:67%,17:27%,40:69%,41:67%,5562995,13084,,31 355,32:6%,,,,,,,,,,,,,,,,
,13.12,6463741,19456,6695762,19913,5885,29:55%,1478882,332,1117750,4896,16:69%,17:29%,24:59%,25:16%,5578012,15017,,31 313,33:0%,,,,,,,,,,,,,,,,
,14.12,6493573,29832,6726375,30613,14351,46:88%,1505555,26673,1124657,6907,16:72%,17:32%,22:56%,23:15%,5601718,23706,,31 381,32:3%,,,,,,,,,,,,,,,,
,15.12,6534626,41053,6768498,42123,13100,31:10%,1522325,16770,1137111,12454,16:80%,17:40%,29:57%,30:34%,5631387,29669,,31 515,32:3%,,,,,,,,,,,,,,,,
,16.12,6570637,36011,6805515,37017,12280,33:17%,1538639,16314,1149064,11953,16:88%,17:49%,32:29%,33:19%,5656451,25064,,31 308,31:8%,,,,,,,,,,,,,,,,
,17.12,6603657,33020,6839477,33962,12437,36:62%,1554616,15977,1160077,11013,16:96%,17:57%,32:43%,33:35%,5679400,22949,,31 300,30:9%,,,,,,,,,,,,,,,,
,18.12,6632735,29078,6869796,30319,11820,38:99%,1571687,17071,1171344,11267,17:05%,17:66%,37:16%,38:75%,5698452,19052,,30 858,31:3%,,,,,,,,,,,,,,,,
,19.12,6654502,21767,6891956,22160,6166,27:82%,1572265,578,1179938,8594,17:12%,17:73%,38:78%,39:48%,5712018,13566,,30 872,31:1%,,,,,,,,,,,,,,,,
,20.12,6673403,18901,6911513,19557,5175,26:46%,1572677,412,1184571,4633,17:14%,17:75%,23:69%,24:51%,5726942,14924,,30 822,30:9%,,,,,,,,,,,,,,,,
,21.12,6702255,28852,6941394,29881,13951,46:69%,1600343,27666,1191763,7192,17:17%,17:78%,24:07%,24:93%,5749631,22689,,30 717,31:1%,,,,,,,,,,,,,,,,
,22.12,6735480,33225,6976460,35066,12775,36:43%,1618930,18587,1204124,12361,17:26%,17:88%,35:25%,37:20%,5772336,22705,,29 709,32:0%,,,,,,,,,,,,,,,,
,23.12,6771320,35840,7012133,35673,11964,33:54%,1634644,15714,1217239,13115,17:36%,17:98%,36:76%,36:59%,5794894,22558,,29 517,32:6%,,,,,,,,,,,,,,,,
                                                         ,24.12,6791755,20435,7033135,21002,7279,34:66%,1642812,8168,1226316,9077,17:44%,18:06%,43:22%,44:42%,5806819,11925,,27 665,34:1%,,,,,,,,,,,,,,,,
,25.12,6805821,14066,7047712,14577,5295,36:32%,1643116,304,1231364,5048,17:47%,18:09%,34:63%,35:89%,5816348,9529,,25 417,33:8%,,,,,,,,,,,,,,,,
,26.12,6818275,12454,7061973,14261,5859,41:08%,1643468,352,1235042,3678,17:49%,18:11%,25:79%,29:53%,5826931,10583,,24 288,31:9%,,,,,,,,,,,,,,,,
,27.12,6834271,15996,7078555,16582,6453,38:92%,1643861,393,1238253,3211,17:49%,18:12%,19:36%,20:07%,5840302,13371,,23 863,31:3%,,,,,,,,,,,,,,,,
,28.12,6867381,33110,7112203,33648,15569,46:27%,1673972,30111,1246167,7914,17:52%,18:15%,23:52%,23:90%,5866036,25734,,24 401,31:2%,,,,,,,,,,,,,,,,
,29.12,6902450,35069,7150261,38058,14134,37:14%,1693001,19029,1259122,12955,17:61%,18:24%,34:04%,36:94%,5891139,25103,,24 829,31:0%,,,,,,,,,,,,,,,,
,30.12,6941502,39052,7203973,53712,13247,24:66%,1710912,17911,1272519,13397,17:66%,18:33%,24:94%,34:31%,5931454,40315,,27 406,29:4%,,,,,,,,,,,,,,,,
,31.12,6988226,46724,7250697,46724,11410,24:42%,1724962,14050,1283527,11008,17:70%,18:37%,23:56%,23:56%,5967170,35716,,31 080,26:5%,,,,,,,,,,,,,,,,
,01.01,7015830,27604,7278301,27604,6030,21:84%,1725403,441,1290472,6945,17:73%,18:39%,25:16%,25:16%,5987829,20659,,32 941,25:2%,,,,,,,,,,,,,,,,
,02.01,7045448,29618,7307919,29618,8213,27:73%,1726075,672,1296211,5739,17:74%,18:40%,19:38%,19:38%,6011708,23879,,35 135,24:3%,,,,,,,,,,,,,,,,
,03.01,7070884,25436,7333355,25436,6875,27:03%,1726413,338,1300643,4432,17:74%,18:39%,17:42%,17:42%,6032712,21004,,36 400,24:0%,,,,,,,,,,,,,,,,
,04.01,7119350,48466,7381821,48466,18538,38:25%,1759479,33066,1308267,7624,17:72%,18:38%,15:73%,15:73%,6073554,40842,,38 517,22:9%,,,,,,,,,,,,,,,,
,05.01,7181108,61758,7443579,61758,16217,26:26%,1778827,19348,1322418,14151,17:77%,18:42%,22:91%,22:91%,6121161,47607,,41 903,21:3%,,,,,,,,,,,,,,,,
,06.01,7227865,46757,7490336,46757,16217,34:68%,1779143,316,1334472,12054,17:82%,18:46%,25:78%,25:78%,6155864,34703,,40 909,21:4%,,,,,,,,,,,,,,,,
,07.01,7278042,50177,7540513,50177,15746,31:38%,1801220,22077,1343262,8790,17:81%,18:46%,17:52%,17:52%,6197251,41387,,41 402,20:6%,,,,,,,,,,,,,,,,
,08.01,7336413,58371,7598884,58371,15792,27:05%,1817649,16429,1353810,10548,17:82%,18:45%,18:07%,18:07%,6245074,47823,,45 798,19:5%,,,,,,,,,,,,,,,,
